"LL.1"	"LL.2"	"LL.3"	"MM.1"	"MM.2"	"MM.3"
"ECs_0383"	276	275	367	8402	8707	15729
"ECs_0384"	60	54	50	713	636	992
"ECs_0385"	123	126	174	307	239	265
"ECs_0386"	113	98	109	222	199	258
"ECs_0387"	90	97	110	193	137	206
"ECs_0388"	126	135	180	274	153	278
"ECs_0389"	262	237	272	6767	5863	10501
"ECs_0390"	816	679	844	9431	8755	15936
"ECs_0391"	311	277	290	1436	1398	2341
"ECs_0392"	51	53	77	73	71	95
"ECs_0393"	22	23	18	54	41	76
"ECs_0394"	74	87	131	408	423	485
"ECs_0395"	73	94	92	2754	3413	3773
"ECs_0396"	118	77	102	4122	4394	5301
"ECs_0397"	490	448	559	34561	34006	36924
"ECs_0398"	872	843	1178	1550	1290	1737
"ECs_0399"	190	160	187	391	458	600
"ECs_0400"	148	154	209	308	332	433
"ECs_0401"	31	37	36	205	248	255
"ECs_0402"	28	24	51	45	47	50
"ECs_0403"	26	33	32	32	25	29
"ECs_0404"	32	35	45	54	41	65
"ECs_0405"	17	16	13	21	22	36
"ECs_0406"	36	32	29	39	49	67
"ECs_0407"	25	28	22	39	34	56
"ECs_0408"	66	72	98	136	102	159
"ECs_0409"	713	633	667	535	531	895
"ECs_0410"	912	804	923	1031	1073	1435
"ECs_0411"	1719	1521	1733	4602	4390	6509
"ECs_0412"	473	348	432	954	1093	1526
"ECs_0413"	208	248	246	369	350	522
"ECs_0414"	236	232	299	335	336	434
"ECs_0415"	157	157	189	378	298	545
"ECs_0416"	328	268	334	348	342	497
"ECs_0417"	59	67	107	482	433	525
"ECs_0418"	45	28	57	279	295	318
"ECs_0419"	60	48	43	407	681	266
"ECs_0420"	22	23	27	320	387	171
"ECs_0421"	18	16	27	188	246	82
"ECs_0422"	149	138	137	1039	1338	677
"ECs_0423"	3228	3010	3442	4300	4392	5998
"ECs_0424"	1357	1184	1331	1180	1365	1787
"ECs_0425"	53	50	56	38	49	40
"ECs_0426"	686	680	771	1119	1008	1390
"ECs_0427"	642	456	562	559	436	809
"ECs_0428"	1034	1014	1108	1310	1361	1731
"ECs_0429"	209	209	225	804	1358	1171
"ECs_0430"	96	77	86	164	150	260
"ECs_0431"	2940	2416	3056	3309	3692	4673
"ECs_0432"	314	259	301	950	1064	1810
"ECs_0433"	459	335	378	855	810	1526
"ECs_0434"	126	124	133	1584	1943	2776
"ECs_0435"	303	245	292	335	359	513
"ECs_0436"	1451	1440	1993	2641	2689	3535
"ECs_0437"	784	808	1013	779	736	896
"ECs_0438"	1100	959	1339	2063	2442	2838
"ECs_0439"	435	405	522	1322	1627	2313
"ECs_0440"	452	419	563	3348	3435	5152
"ECs_0441"	509	516	627	2243	2849	3804
"ECs_0442"	107	99	94	110	101	173
"ECs_0443"	187	173	189	113	109	151
"ECs_0444"	6952	5330	5732	6978	5292	11407
"ECs_0445"	137	96	145	301	168	352
"ECs_0446"	652	533	655	553	597	853
"ECs_0447"	1313	1212	1514	1800	1746	2357
"ECs_0448"	835	773	877	1043	1116	1440
"ECs_0449"	914	709	855	895	979	1336
"ECs_0450"	1007	886	986	959	999	1288
"ECs_0451"	5082	4410	5676	4265	4134	4944
"ECs_0452"	4993	3752	3868	1486	1356	2150
"ECs_0453"	424	335	350	395	314	504
"ECs_0454"	221	188	251	210	217	397
"ECs_0455"	463	368	473	645	773	1113
"ECs_0456"	4018	3971	4900	3065	2466	3669
"ECs_0457"	16615	14324	16354	14568	15752	24554
"ECs_0458"	5368	4510	5188	7849	8330	13196
"ECs_0459"	16121	13467	16008	14507	14413	21715
"ECs_0460"	7377	5593	6354	5744	4270	9135
"ECs_0461"	275	219	281	313	359	533
"ECs_0462"	291	244	267	343	394	518
"ECs_0463"	1225	1109	1275	1307	1657	2246
"ECs_0464"	2453	2140	2357	6436	7321	9836
"ECs_0465"	298	245	265	914	1292	1233
"ECs_0466"	819	674	738	810	758	1233
"ECs_0467"	1561	1368	1544	1729	1578	2326
"ECs_0468"	6747	6325	7144	4179	4562	5964
"ECs_0469"	7781	6919	7867	5371	5968	7532
"ECs_0470"	833	676	794	442	380	555
"ECs_0471"	1023	860	935	560	471	924
"ECs_0472"	136	111	145	136	155	193
"ECs_0473"	332	281	328	1995	1478	3093
"ECs_0474"	5235	4935	6106	5904	6483	7793
"ECs_0475"	3616	3334	4057	3938	4861	5520
"ECs_0476"	479	653	1165	1026	698	734
"ECs_0477"	13741	12720	14686	6653	7070	9127
"ECs_0478"	321	371	530	392	351	409
"ECs_0479"	676	609	695	785	991	1272
"ECs_0480"	3381	3091	3641	4005	4706	6668
"ECs_0481"	2201	2090	2440	1091	1131	1449
"ECs_0482"	15391	12379	12534	5410	4171	7133
"ECs_0483"	5590	4540	4232	1749	1679	2537
"ECs_0484"	9093	8741	8124	3611	3250	4133
"ECs_0485"	63189	59535	56430	23027	24320	29041
"ECs_0486"	46961	45614	42016	16845	19226	23929
"ECs_0487"	3795	3927	4452	2258	2601	2985
"ECs_0488"	4856	4457	4908	3436	4291	5211
"ECs_0489"	1523	1562	1835	11241	13754	19396
"ECs_0490"	86863	77130	88460	71411	83308	104305
"ECs_0491"	10109	9039	10085	10318	12094	15657
"ECs_0492"	17374	14562	17461	20002	20979	28872
"ECs_0493"	19590	14853	16158	26053	24043	39788
"ECs_0494"	7725	6676	7479	10331	11067	16278
"ECs_0495"	16315	14576	17077	14177	13722	20324
"ECs_0496"	207	172	196	140	138	192
"ECs_0497"	210	177	166	358	345	492
"ECs_0498"	784	633	821	1479	999	1889
"ECs_0499"	224	226	233	413	447	533
"ECs_0500"	721	626	768	908	1129	1533
"ECs_0501"	473	429	640	471	469	645
"ECs_0502"	1167	1039	1535	797	647	1079
"ECs_0503"	901	1074	1809	782	748	839
"ECs_0504"	88	51	66	334	210	1106
"ECs_0505"	388	260	277	853	398	1706
"ECs_0506"	531	533	586	1342	1463	1792
"ECs_0507"	1363	1288	1273	9635	13836	13280
"ECs_0508"	68	57	96	200	251	208
"ECs_0509"	1275	1273	1370	2032	2161	3305
"ECs_0510"	999	960	1023	1216	1426	1864
"ECs_0511"	765	731	707	985	1118	1521
"ECs_0512"	1314	1194	1384	994	1245	1538
"ECs_0513"	1301	1221	1450	1016	1286	1420
"ECs_0514"	1302	1149	1449	1832	2419	2842
"ECs_0515"	24400	20979	23694	23056	26690	32436
"ECs_0516"	8435	7227	8137	9350	11038	13103
"ECs_0517"	1670	1515	1820	2043	2548	3079
"ECs_0518"	10440	9424	10764	4698	5496	6853
"ECs_0519"	43	27	25	40	28	62
"ECs_0520"	130	167	239	315	283	320
"ECs_0521"	253	299	357	599	571	593
"ECs_0522"	8663	8050	10267	5075	5404	8648
"ECs_0523"	4868	5549	7797	5198	4690	5554
