"LL.1"	"LL.2"	"LL.3"	"MM.1"	"MM.2"	"MM.3"
"ECs_4080"	2496	2162	2510	3100	3347	4711
"ECs_4081"	5968	4958	5896	8556	9931	13383
"ECs_4082"	1419	1152	1275	2991	3071	4957
"ECs_4083"	1881	1488	1685	3113	2614	5060
"ECs_4084"	2228	1874	2006	3569	3533	5646
"ECs_4085"	205	182	166	370	410	552
"ECs_4086"	5217	4688	4669	9026	11359	12865
"ECs_4087"	678	548	585	1344	1323	2104
"ECs_4088"	685	608	707	2012	2005	2674
"ECs_4089"	3915	3126	3507	7838	8161	12724
"ECs_4090"	90	81	88	128	124	247
"ECs_4091"	2026	1894	2783	21653	20794	31505
"ECs_4092"	787	823	1127	9038	10704	14118
"ECs_4093"	176	174	175	776	983	1621
"ECs_4094"	89	85	83	536	589	762
"ECs_4095"	77	88	117	404	381	470
"ECs_4096"	38	46	57	199	171	166
"ECs_4097"	157	141	197	553	487	639
"ECs_4098"	66	78	89	372	344	493
"ECs_4099"	1619	1636	1860	2688	3388	3791
"ECs_4100"	249	239	202	234	215	353
"ECs_4101"	4852	5473	6608	5241	5545	6107
"ECs_4102"	18808	17293	19348	16040	17567	22549
"ECs_4103"	135086	114803	126833	59344	64509	95709
"ECs_4104"	186192	156945	174119	82647	88043	131732
"ECs_4105"	2007	1615	1919	3226	3391	5543
"ECs_4106"	2613	2600	3343	5295	6049	7299
"ECs_4107"	887	803	983	2790	3011	3951
"ECs_4108"	1672	1656	2052	1907	2047	2609
"ECs_4109"	4234	4578	4826	21548	24489	28218
"ECs_4110"	2411	2226	2567	5492	6324	8765
"ECs_4111"	9575	9541	7976	290	315	421
"ECs_4112"	187	177	178	361	337	517
"ECs_4113"	3706	3592	3642	470	554	670
"ECs_4114"	1439	1533	1444	166	227	216
"ECs_4115"	326	379	312	57	70	67
"ECs_4116"	1268	1290	1555	1082	1179	1372
"ECs_4117"	3652	3614	5082	7257	7069	9228
"ECs_4118"	3661	3382	4128	4633	4891	6963
"ECs_4119"	5538	5176	6222	5885	6463	8372
"ECs_4120"	843	947	1191	1244	1111	1258
"ECs_4121"	1605	1295	1489	1206	1356	1876
"ECs_4122"	6329	6256	7386	5123	5301	6274
"ECs_4123"	12716	13174	16103	15552	14976	17609
"ECs_4124"	3033	2868	3494	5718	6278	7172
"ECs_4125"	352	253	297	1025	484	1458
"ECs_4127"	13170	11479	13125	8905	8962	13083
"ECs_4128"	20293	18259	21089	14816	15190	20183
"ECs_4129"	442	381	461	297	354	475
"ECs_4130"	2877	2709	3446	2607	2571	3255
"ECs_4131"	3973	3673	4417	3752	4021	5407
"ECs_4132"	175632	159231	186505	38755	42467	66582
"ECs_4133"	43407	39461	45227	10590	11799	18828
"ECs_4134"	1703	1404	1725	739	802	1330
"ECs_4135"	29	16	30	30	36	56
"ECs_4136"	63	64	59	30	33	52
"ECs_4137"	134	107	132	74	72	97
"ECs_4138"	1512	1295	1493	1384	1540	2102
"ECs_4140"	940	974	969	317	346	400
"ECs_4141"	354	286	335	691	777	813
"ECs_4142"	428	340	387	310	335	403
"ECs_4143"	502	423	470	210	214	323
"ECs_4144"	769	677	810	381	439	641
"rrfF"	6	12	6	3	2	2
"thrV"	0	0	0	0	0	0
"rrfD"	0	3	0	0	0	1
"rrlD"	1	35	0	0	1	1
"alaU"	1	1	0	0	0	0
"ileU"	0	0	2	1	0	1
"rrsD"	23	432	9	17	4	13
"ECs_4145"	1401	1303	1698	3724	4264	6707
"ECs_4146"	168	151	172	224	261	353
"ECs_4147"	866	695	868	954	1035	1580
"ECs_4148"	629	536	661	708	865	1056
"ECs_4149"	857	827	880	1508	1753	2465
"ECs_4150"	992	795	880	2653	2850	4401
"ECs_4151"	213	152	171	370	235	674
"ECs_4152"	4946	4417	4977	4832	5590	6619
"ECs_4153"	8210	7319	8452	6439	7680	9443
"ECs_4154"	4865	4291	4606	3483	3812	5146
"ECs_4155"	3291	2622	3020	2487	2287	3737
"ECs_4156"	1190	979	1101	2389	2683	3738
"ECs_5754"	121	92	107	284	257	403
"ECs_4157"	673	521	651	816	988	1371
"ECs_4158"	1114	1011	1100	1452	1617	2229
"ECs_4159"	114189	108556	117284	45438	57306	69153
"ECs_4160"	496116	442443	468903	201162	241121	319473
"ECs_4161"	264176	224205	233339	108766	124615	175429
"ECs_4162"	130731	115088	122944	57869	68954	93673
"ECs_4163"	172684	148121	157641	79278	89424	126585
"ECs_4164"	65291	56530	60897	28577	34589	47711
"ECs_4165"	476328	381405	398198	189635	189981	298814
"ECs_4166"	139839	104617	110268	56409	47365	88092
"ECs_4167"	13018	11694	11754	5009	5999	9085
"ECs_4168"	146120	112945	119165	63407	63424	98381
"ECs_4169"	65934	57522	62941	32074	32861	46174
"ECs_4170"	147404	126398	132604	67063	76615	102639
"ECs_4171"	99227	85728	88670	45801	53817	73539
"ECs_4172"	105252	99019	103421	54125	65221	77327
"ECs_4173"	227760	200699	214907	108608	131462	172200
"ECs_4174"	78759	71782	76664	38957	48529	64854
"ECs_4175"	160929	141732	150764	80941	95054	127400
"ECs_4176"	91975	88144	91132	37161	46281	60413
"ECs_4177"	20431	19065	20492	8982	11533	15015
"ECs_4178"	124485	118789	127900	58038	68729	85942
"ECs_4179"	228268	224118	246425	113312	124158	157418
"ECs_4180"	114773	106991	113402	50115	60296	80873
"ECs_4181"	66315	61688	64392	30172	36271	48464
"ECs_4182"	292770	282327	309207	146563	156830	206521
"ECs_4183"	92312	84648	89698	40618	48192	65273
"ECs_4184"	214981	203266	221275	99325	115445	147491
"ECs_4185"	341680	312269	334425	151557	177456	241816
"ECs_4186"	134409	157199	195202	89394	76765	91902
"ECs_4188"	171	154	172	302	275	485
"ECs_4189"	1255	1191	1288	5306	5700	8666
"ECs_5755"	767	696	794	654	683	853
"ECs_4190"	193681	176647	201241	157058	145630	201092
"ECs_4191"	574555	500595	555078	341751	356427	516279
"ECs_4192"	123921	112684	125101	68155	78151	107721
"ECs_4193"	113544	106849	117472	64919	73289	102795
"ECs_4194"	909	849	944	1674	2096	2644
"ECs_4195"	298	248	276	406	416	591
"ECs_4196"	701	545	649	950	912	1537
"ECs_4197"	2375	1721	1919	3471	2845	5842
"ECs_4198"	19952	16726	19183	20419	22640	31992
"ECs_4199"	1177	1003	1277	1163	1431	2181
"ECs_4200"	14939	13817	18233	25485	23322	35099
"ECs_5756"	94	77	76	273	349	427
"ECs_4201"	440	353	428	920	847	1283
"ECs_4202"	167	112	127	321	309	631
"ECs_4203"	4495	4296	5540	4424	4507	5995
"ECs_4204"	1222	1268	1599	1382	1496	1831
"ECs_4205"	185	156	194	255	348	493
"ECs_4206"	886	778	1079	1866	2095	2931
"ECs_4207"	602	481	547	1446	1423	2393
"ECs_4208"	2471	2181	2671	12553	15653	20252
"ECs_4209"	683	586	714	3096	3554	4609
"ECs_4210"	325	234	305	4746	2838	9085
"ECs_4211"	259	223	279	452	334	639
"ECs_4212"	135	106	114	1298	931	1834
"ECs_4213"	38	38	44	235	213	372
"ECs_4214"	945	893	1131	5628	5717	8384
"ECs_4215"	2011	1710	1752	3089	3512	4364
"ECs_4216"	561	533	553	573	658	679
"ECs_4217"	30	33	41	47	42	47
"ECs_4218"	75	78	75	56	59	84
"ECs_4219"	1270	1285	1576	1399	1339	1708
"ECs_4220"	261	292	317	90	113	151
"ECs_4221"	32	27	26	44	28	53
"ECs_4222"	33	34	29	37	55	62
"ECs_4223"	91	116	126	147	139	183
"ECs_4224"	357	318	380	361	358	400
"ECs_4225"	1226	1042	1109	1390	1492	2297
"ECs_4226"	2312	1547	1691	4221	2836	7016
"ECs_4227"	708	528	729	1300	1074	1751
"ECs_4228"	1123	1019	1209	2060	2026	3232
"ECs_4229"	2650	2266	2727	3046	3245	4924
"ECs_4230"	11599	10963	13871	15783	15196	20643
"ECs_4231"	15445	12038	14439	10666	9361	16229
"ECs_4232"	19949	15681	18018	11290	11027	18911
"ECs_4233"	77	43	58	81	69	149
"ECs_4234"	11	9	8	10	5	17
"ECs_4235"	21	5	19	14	18	25
"ECs_4236"	26	22	30	30	31	42
"ECs_4237"	73	77	121	129	120	116
"ECs_4238"	5375	5766	7148	4995	4880	5588
"ECs_4239"	2407	2313	2682	2572	3059	3657
"ECs_4240"	2454	2302	2697	3913	4615	4850
"ECs_4241"	2416	2088	2522	2816	3061	4501
"ECs_4242"	1002	966	1041	1605	1695	2301
"ECs_4243"	2641	2334	2503	5125	4287	6970
"ECs_4244"	369	319	371	652	672	1032
"ECs_4245"	3882	3523	3891	13063	13798	18004
"ECs_4246"	2971	3069	3656	1997	2135	2483
"ECs_4247"	4565	4823	5744	3612	3749	4295
"ECs_4248"	386	347	431	453	586	742
"ECs_4249"	3239	3443	4519	6393	6158	6807
"ECs_4250"	307	260	296	107	170	134
"ECs_4251"	1463	1357	1827	751	816	810
"ECs_4252"	132	94	151	64	59	91
"ECs_4253"	254	218	272	284	277	416
"ECs_4254"	582	500	640	644	510	864
"ECs_4255"	722	560	672	770	715	1075
"ECs_4256"	3394	3009	3438	5132	6225	7399
"ECs_4257"	285	235	304	434	360	539
"ECs_4258"	585	494	569	1688	1088	2457
"ECs_4259"	298	241	302	2583	2238	4063
"ECs_4260"	1105	1035	1269	9460	9551	12385
"ECs_4261"	125	110	119	304	340	470
"ECs_4262"	206	128	149	238	206	385
"ECs_4263"	87	92	117	133	134	130
"ECs_4264"	117	86	120	118	143	236
"ECs_4265"	219	239	295	396	306	394
"ECs_4266"	780	957	1137	1823	1448	2053
"ECs_4267"	1903	1815	2152	2656	2722	3682
"ECs_4268"	1429	1354	1440	2118	2319	3145
"ECs_4269"	1115	1275	1170	67325	64493	69634
"ECs_4270"	53	52	49	634	747	839
"ECs_4271"	35	41	27	58	72	86
"ECs_4272"	93	74	71	235	229	368
"ECs_4273"	3079	2658	3322	17247	17707	26153
"ECs_4274"	1501	1331	1590	9003	10047	13482
"ECs_4275"	1147	1038	1163	7089	7690	10587
"ECs_4276"	919	801	960	4858	4702	7289
"ECs_4277"	1717	1390	1551	8649	8733	13332
"ECs_4278"	1684	1364	1656	3538	4478	5593
"ECs_4279"	1055	856	958	861	894	1157
"ECs_4280"	1357	1138	1338	1206	1204	1841
"ECs_4281"	318	271	301	397	423	685
"ECs_4285"	631	575	739	232	277	294
"ECs_4286"	384	309	393	241	313	293
"ECs_4287"	1445	1279	1637	2046	2215	2825
"ECs_4288"	805	691	883	4384	4202	2841
"ECs_4289"	744	645	741	2419	2801	3660
"ECs_4290"	66	66	66	192	204	275
"ECs_4291"	11	9	11	14	8	31
"ECs_4293"	429	407	466	9481	8236	12585
"ECs_4294"	274	237	265	1138	1763	1684
"ECs_4295"	155	175	213	852	773	881
"ECs_4296"	46	44	51	909	548	884
"ECs_4297"	30	28	35	592	526	698
"ECs_4298"	33	29	43	792	694	884
"ECs_4299"	213	172	188	4978	5163	6709
"ECs_4300"	84	68	82	411	409	640
"ECs_4301"	71	57	62	1201	770	1125
"ECs_4302"	74	47	77	1445	1220	1533
"ECs_4303"	163	122	207	2311	2034	2351
"ECs_4304"	119	98	122	1623	1418	1915
"ECs_4305"	176	128	165	3314	3514	4676
"ECs_4306"	120	126	131	324	277	415
"ECs_4307"	156	142	156	410	497	746
"ECs_4308"	93	75	93	414	476	709
"ECs_4309"	262	183	234	8205	6803	11993
"ECs_4310"	10864	10426	13547	17158	19011	20989
"ECs_4311"	1057	938	1069	1470	1356	1885
"ECs_4312"	460	394	415	717	731	805
"ECs_4313"	1718	1413	1597	1711	2196	2516
"ECs_4314"	710	788	1090	953	884	1314
"ECs_4315"	125	126	128	138	165	262
"ECs_4316"	231	290	301	310	380	425
"ECs_4317"	1072	1093	1564	4348	4972	5920
"ECs_4318"	6998	8337	11358	14417	8085	15164
"ECs_4319"	1728	1538	1653	1646	1294	2711
"ECs_4320"	3734	3975	4721	2571	2284	3437
"ECs_4321"	4922	4391	5053	5862	7138	9040
"ECs_4322"	508	423	535	709	782	958
"ECs_4323"	61	51	41	353	296	552
"ECs_4324"	796	704	626	429	573	524
"ECs_4325"	2530	2151	2246	1449	1918	1891
"ECs_4326"	1444	1444	1538	836	1051	1148
"ECs_4327"	2263	2306	2419	1001	1164	1287
"ECs_4328"	359	343	389	178	200	223
"ECs_4329"	548	476	525	226	302	321
"ECs_4330"	588	785	1244	448	279	249
"ECs_4331"	1957	2158	2489	914	924	993
"ECs_4332"	196	182	207	87	92	122
"ECs_4333"	1060	1209	1595	650	604	605
"ECs_4334"	284	267	283	172	222	229
"ECs_4335"	278	281	365	187	190	194
"ECs_4336"	935	1119	1461	663	595	548
"ECs_4337"	202	294	392	243	212	139
"ECs_4338"	263	427	716	358	228	164
"ECs_4339"	274	282	352	165	152	193
"ECs_4340"	515	521	677	357	366	327
"ECs_4341"	1787	1711	2048	1410	1517	1863
"ECs_4342"	1429	1528	2283	1806	1497	1725
"ECs_4343"	1581	1302	1423	944	959	1410
"ECs_4344"	43	53	91	49	39	52
"ECs_4345"	14	46	102	45	44	14
"ECs_4346"	99	91	136	85	93	106
"ECs_4347"	208	235	311	207	289	349
"ECs_4348"	331	330	416	461	548	595
"ECs_4349"	66	48	63	163	223	331
"ECs_4350"	28	30	39	115	110	139
"ECs_4351"	48	44	70	99	124	191
"ECs_4352"	104	67	94	192	235	334
"ECs_4353"	60	77	110	193	131	177
"ECs_4354"	9	5	4	17	21	24
"ECs_4355"	157	139	130	185	184	236
"ECs_4356"	294	257	230	376	463	620
"ECs_4357"	244	229	253	356	431	535
"ECs_4358"	310	299	294	387	395	597
"ECs_4359"	354	275	401	555	553	703
"ECs_4360"	484	512	816	642	511	550
"ECs_4361"	168	145	148	210	218	342
"ECs_4362"	49	38	77	60	47	106
"ECs_4363"	874	798	1283	6435	6674	13909
"ECs_4364"	2003	1372	1607	830	568	1289
"ECs_4365"	20542	16663	20632	15641	18001	24675
"ECs_4366"	182	173	202	1031	864	1444
"ECs_4367"	887	783	829	4965	6098	8283
"ECs_4368"	218	191	225	515	590	796
"ECs_4369"	192	263	465	735	494	522
"ECs_4370"	3069	2933	3455	10942	12395	14760
"ECs_4371"	3831	3459	3901	3444	3983	5003
"ECs_4372"	4145	4122	4731	6374	6536	7102
"ECs_4373"	155	141	152	96	98	139
"ECs_4374"	314	322	379	270	264	340
"ECs_4375"	145	113	137	126	136	185
"ECs_4376"	40	22	40	16	22	34
"ECs_4377"	6513	6209	8607	40791	47895	77545
"ECs_4378"	655	660	944	3524	3914	6677
"ECs_4379"	486	466	658	1394	1636	2538
"ECs_4380"	285	179	218	342	375	555
"ECs_4382"	133	143	128	122	146	177
"ECs_4383"	188	148	204	174	174	286
"ECs_4384"	39	38	50	84	64	89
"ECs_4385"	85	77	105	151	155	179
"ECs_4386"	236	195	252	290	341	446
"ECs_4387"	315	233	329	408	362	786
"ECs_4388"	230	154	339	1642	1190	3982
"ECs_4389"	664	542	1080	12103	11862	25743
"ECs_4390"	2491	2335	4333	67132	68852	137104
"ECs_4391"	1456	1465	3216	11019	12120	26448
"ECs_4392"	2711	2303	3630	14963	15857	30418
"ECs_5757"	239	230	366	1730	1723	3376
"ECs_4393"	788	745	1260	5839	5555	9762
"ECs_4394"	2616	2382	3793	14171	13922	25428
"ECs_4395"	333	322	453	3988	4457	7143
"ECs_4396"	913	853	1248	4033	4626	7403
"ECs_4397"	835	962	1488	27115	24218	46936
"ECs_4398"	163	121	183	132	156	283
"ECs_4399"	280	247	291	2206	3013	2944
"ECs_4400"	403	347	377	267	291	426
"ECs_4401"	62	38	58	149	179	239
"ECs_4402"	164	151	165	1316	1620	1949
"ECs_4403"	216	186	238	5120	5158	6850
"ECs_4404"	215	200	207	2543	2400	3159
"ECs_4405"	142	99	72	265	431	208
"ECs_4406"	592	627	801	691	729	901
"ECs_4407"	2680	2579	3006	5240	4857	5929
"ECs_4408"	567	385	434	1434	1176	2250
"ECs_4409"	1360	977	1071	1766	1485	2337
"ECs_4410"	342	380	490	976	834	1160
"ECs_4411"	131	92	146	180	165	265
"ECs_4412"	304	291	317	410	416	612
"ECs_4413"	407	350	458	524	495	779
"ECs_4414"	130	80	118	300	337	552
"ECs_4415"	120	102	148	308	377	518
"ECs_4416"	1644	1417	1529	3353	3476	5204
"ECs_4417"	10	4	17	50	68	80
"ECs_4418"	552	481	640	2145	2252	2883
"ECs_5758"	70	70	98	136	153	243
"ECs_4419"	2511	2263	2545	1171	1274	1726
"ECs_4420"	418	429	651	985	940	1062
"ECs_4421"	226	212	241	833	1034	1090
"ECs_4422"	55	68	124	364	321	247
"ECs_4423"	85	99	124	659	624	672
"ECs_4424"	1145	995	1130	8918	11379	13261
"proK"	138	115	147	69	77	119
"ECs_4425"	4895	4528	5367	4046	4222	5551
"ECs_4426"	76	54	72	82	75	139
"ECs_4427"	184	192	204	179	218	339
"ECs_4428"	369	361	383	405	420	570
"ECs_4430"	53	37	42	31	21	43
"ECs_4431"	98	100	128	82	70	102
"ECs_4432"	121	77	91	235	232	389
"ECs_4433"	171	122	146	718	725	1218
"ECs_4434"	386	283	359	829	832	1311
"ECs_4435"	144	105	124	266	288	444
"ECs_4436"	1870	1579	1850	2419	2122	3656
"ECs_4437"	834	904	1323	226	204	239
"ECs_4438"	1596	1425	1838	5045	6181	8115
"ECs_4439"	2624	2199	2488	4945	5382	7139
"ECs_4440"	186	204	179	5167	5836	7873
"ECs_4441"	396326	377855	441207	22329	25986	36051
"ECs_5759"	1084	1186	1353	108	99	144
"ECs_4442"	15093	16260	20445	19166	16984	19034
"ECs_4443"	7188	7031	8111	8189	7678	9766
"ECs_5760"	90	73	87	255	296	393
"ECs_4444"	542	472	507	644	844	817
"ECs_4445"	70	67	68	51	48	73
"ECs_4446"	27	17	19	11	19	29
"ECs_4447"	99	84	82	155	151	218
"ECs_4448"	141	143	153	237	322	355
"ECs_4449"	59	32	30	55	68	97
"ECs_4450"	123	94	122	171	193	251
"ECs_4451"	127	128	141	183	198	220
"ECs_4452"	687	609	670	820	937	1184
"ECs_4453"	8732	8477	8977	15778	19782	21579
"ECs_4454"	207	180	234	392	523	640
"ECs_4455"	6232	5722	6521	9051	10244	13367
"ECs_4456"	347	389	505	527	571	571
"ECs_4457"	69	60	67	144	120	185
"ECs_4458"	76	60	68	73	66	87
"ECs_4459"	100	95	110	145	166	179
"ECs_4460"	26	23	23	24	25	50
"ECs_4461"	374	317	357	288	297	525
"ECs_4462"	83	69	88	80	83	117
"ECs_4463"	10	5	6	3	6	17
"ECs_4464"	330	338	403	3695	2476	4629
"ECs_4465"	1496	1456	1755	2190	2525	3523
"ECs_4466"	152	141	131	152	155	234
"ECs_4467"	603	710	974	2441	2083	2381
"ECs_4468"	673	742	929	1975	1759	2312
"ECs_4469"	308	282	295	2536	2245	3753
"ECs_4470"	124	104	134	107	90	159
"ECs_4471"	10	8	15	7	17	15
"ECs_4473"	54	41	42	86	75	148
"ECs_4474"	14	8	8	32	36	71
"ECs_4475"	300	253	228	2390	1342	3889
"ECs_4476"	1208	1074	1121	1975	2118	3254
"ECs_4477"	790	662	738	791	854	1264
"ECs_5761"	104	80	84	281	339	431
"ECs_4478"	2288	2055	2470	1980	2382	3351
"ECs_4479"	9	7	4	6	6	13
"ECs_4480"	1965	1686	1899	2003	2229	2966
"ECs_4481"	306	330	360	1362	1359	1703
"ECs_4482"	122	156	155	427	470	543
"ECs_4483"	529	553	639	2203	2496	2782
"ECs_4484"	1643	1530	1844	1580	1434	2148
"ECs_4485"	2559	2128	2603	3338	3663	4826
"ECs_4486"	2929	2450	3213	6114	5546	7394
"ECs_4487"	3912	3046	3510	6107	6341	9592
"ECs_4488"	3144	2668	3083	4504	5424	7311
"ECs_4489"	7330	6815	7772	8493	10066	13478
"ECs_4490"	6270	5740	6591	5429	6425	7294
"ECs_4491"	2626	2830	3775	3256	3075	3606
"ECs_4492"	1541	1337	1585	2052	2246	3207
"ECs_4493"	320	276	311	288	285	401
"ECs_4494"	2957	2361	2560	1409	1213	2106
"ECs_4495"	4015	3302	3701	1650	1255	2146
"ECs_4496"	2141	1868	2234	1622	1599	2605
"ECs_4497"	5400	4657	5314	6184	6827	9320
"ECs_4498"	3347	2854	3231	3687	3888	5148
"ECs_4499"	2118	1699	1859	2327	2207	3338
"ECs_4500"	3104	2811	3081	3408	4112	5554
"ECs_4501"	3450	3182	3401	3068	3539	4692
"ECs_4502"	1844	1595	1804	1387	1572	2275
"ECs_4503"	1908	1593	1919	1328	1573	2373
"ECs_4504"	2355	1982	2207	1823	2272	3131
"ECs_4505"	1921	1455	1629	1696	1823	2491
"ECs_4506"	4440	3547	3839	3905	4138	5855
"ECs_4507"	6075	5084	5731	5309	5656	7729
"ECs_4508"	4987	5089	5870	4378	4792	6375
"ECs_4509"	1060	977	1167	1388	1528	2195
"ECs_4510"	1324	1122	1420	866	700	1304
"ECs_4511"	14986	14408	16677	8303	10217	14705
"ECs_4512"	103201	94024	109688	58586	66406	96441
"ECs_4513"	3377	3025	3867	2958	3890	4846
"ECs_4514"	2291	2339	3131	3071	2870	3508
"ECs_4515"	1646	1724	2155	1797	1818	2384
"ECs_4516"	2438	2197	2723	2189	2544	3538
"ECs_4517"	508	408	519	2594	2083	4344
"ECs_4518"	3664	3891	4922	4076	3160	4498
"ECs_4519"	5784	5520	6403	11393	11024	16049
"ECs_4520"	792	609	639	714	684	1095
"ECs_4521"	473	514	410	154	168	229
"ECs_4522"	352	288	341	347	357	547
"ECs_4523"	7441	6841	7820	5863	6962	9483
"ECs_4524"	7312	6619	7699	6165	7319	9587
"ECs_4525"	19292	19214	22803	15658	17190	20888
"ECs_4526"	2366	2517	3021	1901	1987	2591
"ECs_4527"	4117	4378	5280	3906	3996	4620
"ECs_4528"	691	527	862	710	648	1372
"ECs_4529"	1428	1307	2218	2036	1710	3056
"ECs_4530"	319	311	300	11038	11770	16370
"ECs_4531"	1067	1019	1216	2579	3137	3626
"ECs_4532"	296	257	298	524	502	724
"ECs_4533"	110	86	86	144	144	221
"selC"	537	762	885	276	252	233
"ECs_4534"	3464	2948	3409	1996	2186	2849
"ECs_4535"	515	467	489	374	448	607
"ECs_4537"	1005	1069	1223	712	743	883
"ECs_4539"	152	152	136	120	124	140
"ECs_4540"	404	326	361	260	324	383
"ECs_4541"	211	177	254	188	307	359
"ECs_4542"	803	753	925	638	1028	1010
"ECs_4543"	86	81	93	74	78	116
"ECs_4545"	26	28	26	28	21	29
"ECs_4546"	17	26	64	26	16	15
"ECs_4547"	668	700	890	767	972	1075
"ECs_4550"	19	14	18	19	30	45
"ECs_4551"	5	5	6	5	7	10
"ECs_4552"	6	9	4	5	6	6
"ECs_4553"	39	45	41	40	50	64
"ECs_4554"	456	399	491	334	346	535
"ECs_4555"	123	89	75	134	143	207
"ECs_4556"	37	28	46	35	41	62
"ECs_4557"	130	104	110	55	63	101
"ECs_4558"	143	138	162	141	162	215
"ECs_4559"	183	144	142	100	144	216
"ECs_4560"	5	1	2	4	5	11
"ECs_4561"	306	315	315	427	505	714
"ECs_4562"	64	61	63	56	77	77
"ECs_4563"	93	101	97	124	146	183
"ECs_4564"	327	346	364	163	203	246
"ECs_4565"	161	116	131	67	70	102
"ECs_4567"	27	34	33	15	26	38
"ECs_4568"	214	163	193	142	151	233
"ECs_4569"	169	123	166	148	127	231
"ECs_4570"	3	4	4	5	7	17
"ECs_4571"	15	21	24	37	38	53
"ECs_4572"	23	24	19	22	18	27
"ECs_4573"	19	10	20	17	16	37
"ECs_4574"	13	8	7	11	10	19
"ECs_4575"	68	61	62	43	62	84
"ECs_4576"	36	34	47	17	19	32
"ECs_4577"	165	164	176	50	58	73
"ECs_4578"	436	362	434	131	139	219
"ECs_4579"	4	7	3	1	1	1
"ECs_4580"	25	15	18	17	9	30
"ECs_4581"	16	23	18	25	20	25
"ECs_4582"	2	3	8	1	7	7
"ECs_4583"	10	13	8	5	8	17
"ECs_4584"	15	4	8	10	7	15
"ECs_4585"	7	3	10	23	14	23
"ECs_4586"	2	1	2	3	3	13
"ECs_4587"	0	1	2	0	1	3
"ECs_4588"	4	4	10	8	4	11
"ECs_4590"	70	67	72	64	80	134
"ECs_4591"	8	13	8	9	11	26
"ECs_4592"	23	15	31	29	36	55
"ECs_4593"	5	11	3	6	8	12
"ECs_4594"	439	424	419	1065	1099	1496
"ECs_4595"	468	445	295	2572	3855	2986
"ECs_5762"	174	164	162	320	373	404
"ECs_4596"	1790	1650	1806	859	965	1247
"ECs_4597"	124	105	144	95	104	169
"ECs_4598"	192	145	189	157	164	263
"ECs_4599"	723	617	741	632	681	917
"ECs_4600"	45	26	18	136	147	223
"ECs_4602"	169	168	212	157	165	223
"ECs_4603"	114	107	114	117	139	187
"ECs_4604"	654	496	675	275	211	374
"ECs_4605"	1259	1477	2164	659	440	702
"ECs_4606"	1049	980	1348	500	367	722
"ECs_4607"	23	27	32	13	21	35
"ECs_4608"	4	5	4	5	6	5
"ECs_4609"	12	16	7	18	11	22
"ECs_4610"	20	16	15	44	47	85
"ECs_4611"	38	36	42	205	207	315
"ECs_4612"	231	249	283	1551	1458	1956
"ECs_4613"	70	119	172	556	434	220
"ECs_5763"	3441	3347	4016	4521	5729	5958
"ECs_4614"	1227	1309	1198	106	91	101
"ECs_4615"	107	126	115	116	132	191
"ECs_4616"	77	63	78	115	137	137
"ECs_4617"	155	174	205	284	348	446
"ECs_4618"	148	102	106	156	131	209
"ECs_4619"	155	115	147	139	171	223
"ECs_4620"	115	101	117	106	121	209
"ECs_4621"	38	34	33	63	50	119
"ECs_4622"	264	190	263	172	188	284
"ECs_4623"	105	98	78	77	122	155
"ECs_4624"	34	28	33	42	41	76
"ECs_4625"	795	673	735	898	764	1252
"ECs_4626"	589	585	661	1696	2103	2758
"ECs_4627"	798	799	846	1953	2420	3156
"ECs_4628"	579	506	550	2327	2507	3540
"ECs_4629"	1022	1058	1318	1479	1729	2015
"ECs_4630"	152	180	202	160	203	265
"ECs_4631"	612	592	729	442	563	716
"ECs_4632"	1337	1259	1359	2003	2272	3086
"ECs_4633"	526	434	468	629	588	959
"ECs_4634"	15640	13490	16730	18066	15785	21622
"ECs_4635"	2608	2632	3109	2262	2225	2604
"ECs_4636"	7059	6970	8493	6267	6436	7675
"ECs_4637"	14940	14783	17596	11962	12968	14943
"ECs_4638"	30948	30760	34253	18489	22302	31949
"ECs_4639"	27389	25812	28713	13478	15802	20781
"ECs_4640"	57727	51862	59754	36874	36774	53971
"ECs_4641"	3906	3655	4379	4217	3247	4953
"ECs_4642"	218	193	205	173	179	310
"ECs_4644"	4	2	2	4	2	11
"ECs_4645"	51	61	44	101	104	151
"ECs_4646"	77	73	75	64	53	115
"ECs_4647"	632	524	587	604	591	1120
"ECs_4648"	508	387	496	508	445	748
"ECs_4649"	1133	1040	1260	1439	1576	2034
"ECs_4650"	693	674	802	1664	1772	2388
"ECs_4651"	5428	4915	5924	10710	11935	16010
"ECs_4652"	671	578	670	1823	2047	3062
"ECs_4653"	107	100	120	131	123	218
"ECs_4654"	18	19	18	12	9	21
"ECs_4657"	99	77	68	41	30	85
"ECs_4658"	6	8	9	5	2	5
"ECs_4660"	915	803	859	916	946	1398
"ECs_4661"	835	772	822	688	760	962
"ECs_4662"	658	579	671	404	460	548
"ECs_4663"	629	629	703	451	507	599
"ECs_4664"	2137	1786	1793	1417	1795	2225
"ECs_4665"	207	190	178	150	170	227
"ECs_4666"	129	93	132	123	126	183
"ECs_4667"	339	286	305	343	395	528
"ECs_4668"	8	4	16	13	7	11
"ECs_4670"	63	51	61	72	77	102
"ECs_4671"	7562	5284	6955	12450	9882	16070
"ECs_4672"	11147	8820	11871	10963	12439	17029
"ECs_4673"	6605	6815	7984	15563	16599	16635
"ECs_4674"	26729	22342	25651	52401	48617	63288
"ECs_4675"	14141	12594	14220	29662	31802	37529
