"gene_id","gene_name"
"glgS",NA
"rpsU",NA
"dnaG",NA
"patA",NA
"ygjH",NA
"fadH",NA
"rlmG",NA
"ygjR",NA
"alx",NA
"sstT",NA
"yqjA",NA
"mzrA",NA
"ECs3979","ECs3979"
"yqjD",NA
"yqjE",NA
"yqjK",NA
"yqjF",NA
"yqjG",NA
"yhaH",NA
"yhaK",NA
"yhaL",NA
"yhaO",NA
"yhaC",NA
"garR",NA
"agaV",NA
"agaW",NA
"ECs4013","ECs4013"
"yraH",NA
"yraQ",NA
"yhbO",NA
"yhbW",NA
"mtr",NA
"deaD",NA
"yhbM",NA
"rpsO",NA
"truB",NA
"rbfA",NA
"infB",NA
"nusA",NA
"rimP",NA
"metY",NA
"argG",NA
"leuU",NA
"secG",NA
"obgE",NA
"yhbE",NA
"elbB",NA
"gltB",NA
"gltD",NA
"yhcG",NA
"yhcH",NA
"nanK",NA
"nanE",NA
"nanT",NA
"nanA",NA
"rpsI",NA
"rplM",NA
"degQ",NA
"mdh",NA
"yhcN",NA
"aaeB",NA
"aaeA",NA
"yhcR",NA
"acuI",NA
"dusB",NA
"fis",NA
"yhdJ",NA
"acrS",NA
"acrE",NA
"yhdV",NA
"yhdY",NA
"yhdZ",NA
"rrfF",NA
"yrdA",NA
"smg",NA
"rplQ",NA
"rpoA",NA
"rpsD",NA
"rpsK",NA
"rpsM",NA
"rpmJ",NA
"secY",NA
"rplO",NA
"rpmD",NA
"rpsE",NA
"rplR",NA
"rplF",NA
"rpsH",NA
"rpsN",NA
"rplE",NA
"rplX",NA
"rplN",NA
"rpsQ",NA
"rpmC",NA
"rplP",NA
"rpsC",NA
"rplV",NA
"rpsS",NA
"rplB",NA
"rplW",NA
"rplD",NA
"rplC",NA
"rpsJ",NA
"bfr",NA
"rpsG",NA
"rpsL",NA
"yheV",NA
"kefG",NA
"yhfA",NA
"crp",NA
"yhfK",NA
"argD",NA
"fic",NA
"yhfG",NA
"ppiA",NA
"yhfL",NA
"pck",NA
"envZ",NA
"feoA",NA
"feoB",NA
"feoC",NA
"malQ",NA
"glgP",NA
"malT",NA
"ECs4261","ECs4261"
"glpD",NA
"ECs4270","ECs4270"
"ECs4272","ECs4272"
"glgP",NA
"glgA",NA
"glgC",NA
"glgX",NA
"glgB",NA
"gntU",NA
"yhhW",NA
"yhhX",NA
"yhhY",NA
